open,high,low,close,volume,datetime
198.355,198.3724,198.18,198.32,70140,1749744240000
198.32,198.35,198.25,198.31,30514,1749744300000
198.32,198.33,198.22,198.24,28533,1749744360000
198.26,198.27,198.08,198.22,115323,1749744420000
198.23,198.26,198.16,198.225,39597,1749744480000
198.25,198.3862,198.24,198.355,105806,1749744540000
198.38,198.4459,198.3401,198.3401,40344,1749744600000
198.35,198.4379,198.3,198.36279,46853,1749744660000
198.35,198.5,198.34,198.45,40868,1749744720000
198.45,198.59,198.36,198.39,72896,1749744780000
198.38,198.4,198.31,198.37,17634,1749744840000
198.3769,198.49,198.37,198.48,21022,1749744900000
198.49,198.53,198.45,198.47,47395,1749744960000
198.47,198.4851,198.37,198.43,24018,1749745020000
198.46,198.5199,198.34,198.35,40304,1749745080000
198.36,198.4231,198.36,198.3851,14484,1749745140000
198.4,198.48,198.38,198.4496,14341,1749745200000
198.44,198.4598,198.41,198.4269,20312,1749745260000
198.41,198.46,198.35,198.38,19216,1749745320000
198.38,198.385,198.2,198.2,49611,1749745380000
198.22,198.25,198.14,198.235,39996,1749745440000
198.23,198.32,198.23,198.2533,36053,1749745500000
198.2664,198.3226,198.23,198.32,35041,1749745560000
198.31,198.5,198.3,198.4244,56747,1749745620000
198.44,198.521,198.36,198.52,63403,1749745680000
198.53,198.64,198.525,198.59,61802,1749745740000
198.58,198.635,198.54,198.57,69635,1749745800000
198.57,198.67,198.2,198.38,111645,1749745860000
198.37,198.5866,198.35,198.52,54368,1749745920000
198.5,198.5159,198.4,198.51,38906,1749745980000
198.51,198.54,198.445,198.4662,39840,1749746040000
198.4738,198.615,198.4738,198.59,40448,1749746100000
198.58,198.59,198.5,198.5715,43608,1749746160000
198.58,198.62,198.55,198.58,38156,1749746220000
198.58,198.68,198.57,198.635,43023,1749746280000
198.635,198.9,198.6202,198.85,138068,1749746340000
198.8698,198.8698,198.77,198.84,70121,1749746400000
198.84,198.97,198.83,198.91,69523,1749746460000
198.91,198.93,198.81,198.875,87751,1749746520000
198.885,198.8923,198.725,198.75,46150,1749746580000
198.76,198.77,198.71,198.76,25319,1749746640000
198.76,198.853,198.76,198.795,35658,1749746700000
198.79,198.8499,198.74,198.825,31792,1749746760000
198.8241,198.835,198.75,198.82,28531,1749746820000
198.825,198.93,198.805,198.9,34288,1749746880000
198.89,198.89,198.69,198.73,68799,1749746940000
198.73,198.8,198.65,198.76,25571,1749747000000
198.767,198.83,198.67,198.745,45131,1749747060000
198.73,198.74,198.67,198.71,35389,1749747120000
198.72,198.72,198.62,198.663609,25280,1749747180000
198.67,198.68,198.5,198.55,40532,1749747240000
198.54,198.56,198.5,198.56,46559,1749747300000
198.5592,198.62,198.55,198.58,42806,1749747360000
198.58,198.6346,198.4596,198.625,53435,1749747420000
198.63,198.645,198.53,198.6029,49876,1749747480000
198.6,198.64,198.5501,198.5625,44491,1749747540000
198.561,198.57,198.46,198.505,62732,1749747600000
198.505,198.74,198.475,198.72,46231,1749747660000
198.7299,198.99,198.69,198.89,113911,1749747720000
198.91,199.1,198.89,199.01,135297,1749747780000
198.9901,199.07,198.96,198.98,47137,1749747840000
198.97,199.0399,198.86,198.9404,41300,1749747900000
198.95,199.01,198.92,198.96,36109,1749747960000
198.97,199.08,198.97,199.015,56500,1749748020000
199.02,199.075,198.985,198.99,31701,1749748080000
198.9974,199.01,198.9026,198.98,39356,1749748140000
198.9759,199.18,198.95,199.1623,78255,1749748200000
199.17,199.17,199.07,199.0724,68145,1749748260000
199.08,199.12,198.95,198.995,52463,1749748320000
199.01,199.135,199.0,199.135,38962,1749748380000
199.13,199.225,199.09,199.2101,63690,1749748440000
199.21,199.38,199.17,199.3262,65126,1749748500000
199.35,199.36,199.28,199.32,84399,1749748560000
199.2962,199.44,199.2962,199.3998,67039,1749748620000
199.399,199.43,199.27,199.385,64000,1749748680000
199.371,199.43,199.29,199.32,54054,1749748740000
199.32,199.4188,199.3,199.3952,38100,1749748800000
199.4,199.41,199.32,199.3885,47672,1749748860000
199.38,199.39,199.31,199.33,33313,1749748920000
199.321,199.33,199.24,199.27,37483,1749748980000
199.26,199.285,199.22,199.245,39173,1749749040000
199.24,199.28,199.2,199.2223,45088,1749749100000
199.22,199.3399,199.21,199.21,54346,1749749160000
199.22,199.36,199.16,199.32,81271,1749749220000
199.335,199.36,199.28,199.285,58296,1749749280000
199.3,199.37,199.24,199.26,62930,1749749340000
199.26,199.47,199.25,199.46,47968,1749749400000
199.45,199.54,199.4,199.51,66564,1749749460000
199.5,199.68,199.4701,199.61,79399,1749749520000
199.63,199.64,199.56,199.58,45615,1749749580000
199.5899,199.64,199.56,199.595,49579,1749749640000
199.595,199.645,199.53,199.53,59970,1749749700000
199.53,199.53,199.42,199.4832,60181,1749749760000
199.49,199.54,199.46,199.49,42645,1749749820000
199.49,199.4998,199.35,199.36,40458,1749749880000
199.36,199.36,199.15,199.2,74190,1749749940000
199.21,199.3493,199.16,199.3299,63877,1749750000000
199.32,199.4004,199.3,199.36,44644,1749750060000
199.36,199.37,199.18,199.24,27486,1749750120000
199.24,199.25,199.17,199.23,30723,1749750180000
199.2,199.28,199.16,199.185,23983,1749750240000
199.2,199.225,199.17,199.2,31799,1749750300000
199.2075,199.2075,199.02,199.12,49753,1749750360000
199.12,199.225,199.11,199.185,26896,1749750420000
199.18,199.1864,199.02,199.0477,32185,1749750480000
199.04,199.07,199.01,199.0393,21759,1749750540000
199.04,199.22,199.04,199.11,34631,1749750600000
199.115,199.1599,199.07,199.08,30119,1749750660000
199.09,199.16,199.07,199.16,18282,1749750720000
199.15,199.21,199.12,199.14,22202,1749750780000
199.15,199.1599,199.07,199.15,43710,1749750840000
199.145,199.1589,199.09,199.13,28104,1749750900000
199.12,199.12,199.02,199.065,30923,1749750960000
199.05,199.06,198.95,199.009,42222,1749751020000
199.02,199.0773,198.96,199.031,19748,1749751080000
199.04,199.04,198.9404,198.9404,20061,1749751140000
198.96,199.035,198.9201,199.035,31782,1749751200000
199.04,199.09,198.97,199.0,24303,1749751260000
199.01,199.0687,198.97,199.01,27496,1749751320000
199.0,199.02,198.95,198.95,17169,1749751380000
198.975,199.04,198.975,198.984,16954,1749751440000
198.995,199.08,198.9903,199.0704,28315,1749751500000
199.08,199.19,199.0401,199.1201,52354,1749751560000
199.12,199.15,199.03,199.045,26739,1749751620000
199.0315,199.11,199.02,199.11,19637,1749751680000
199.115,199.131,199.04,199.05,19045,1749751740000
199.05,199.13,199.04,199.12,13591,1749751800000
199.11,199.1299,199.07,199.11,28298,1749751860000
199.09,199.105,199.017,199.05,30714,1749751920000
199.06,199.0775,198.86,198.88,88950,1749751980000
198.89,198.92,198.84,198.87,47284,1749752040000
198.86,198.955,198.85,198.9,41481,1749752100000
198.9,198.91,198.84,198.85,29374,1749752160000
198.855,198.88,198.77,198.85,39829,1749752220000
198.84,198.91,198.775,198.795,32375,1749752280000
198.8001,199.0,198.8,198.92,62286,1749752340000
198.92,199.02,198.9,198.9899,57350,1749752400000
198.98,199.07,198.965,198.97,42079,1749752460000
198.97,198.99,198.87,198.88,42850,1749752520000
