
PSBYP,LINK PARKS INC 5.2% 5.2% PFD Callable,11.1,0,0.00%,N/A,13.21,14.75,0,0,N/A,0,N/A
PSBZP,LINK PARKS INC 4.875 4.875% PFD Callable,11.1,0,0.00%,N/A,12.91,13.9,0,0,N/A,0,N/A
VIASP,"VIA RENEWABLES, INC. VAR PFD Callable",25.23,0,0.00%,N/A,25.2,25.59,0,0,N/A,0,N/A
GULTU,GULF COAST ULTRA DEE Units,0.0335,0,0.00%,N/A,0.032,0.037,0,0,0.0018,7.7 M,N/A
SQFTP,PRESIDIO PROPERTY TR 9.375% PFD Callable,13.9278,0,0.00%,N/A,13.93,14.05,0,0,N/A,0,N/A
ADOOY,PT ALAMTRI RESOURCES ADR,6.45,0,0.00%,400,4.65,6.32,0,0,1.75,"3,848 M",N/A
BKRKY,PT BK RAKYAT ADR,12.09,0,0.00%,"400,100",11.5,12.08,0,0,1.16,"36,429 M",N/A
IESFY,INTERCONEXION ELECTR ADR,113.09,0,0.00%,N/A,112.08,123.98,0,0,15.42,"5,011 M",N/A
WHGLY,WH GROUP LTD ADR,18.96,0,0.00%,"23,725",17.92,19.38,0,0,2.512,"12,163 M",N/A
PTAIY,PT ASTRA INTL TBK ADR,5.7,0,0.00%,N/A,5.3,5.7,0,0,0.9983,"11,538 M",N/A
PUTKY,PT UTD TRACTORS TBK ADR,26.7156,0,0.00%,N/A,25.08,27.12,0,0,6.033,"4,851 M",N/A
GBOOY,GRUPO FINANCIERO BAN ADR,44.89,0,0.00%,N/A,44.3,47.07,0,0,4.836,"25,248 M",N/A
OPINL,OFFICE PROPERTIES IN 6.375% 06/23/2050 PFD Callable,7.29,0,0.00%,N/A,7.3,10,0,0,N/A,0,N/A
HUTCY,HUTCHISON TELECOMMUN ADR,1.44,0,0.00%,N/A,1.43,2.1,0,0,0.0023,463 M,N/A
EC,ECOPETROL S A ADR,9.73,0,0.00%,"19,131",9.8,9.89,0,0,1.501,"20,003 M",59.84%
PCCWY,PCCW LTD ADR,6.64,0,0.00%,N/A,6.16,7.12,0,0,-0.05,"5,140 M",N/A
NWSGY,CTF SERVICES LTD ADR,9.16,0,0.00%,N/A,8.95,9.89,0,0,0.7342,"3,662 M",N/A
YZCAY,YANZHOU ENERGY GROUP ADR,10.1577,0,0.00%,N/A,9.56,10.34,0,0,1.825,"10,196 M",N/A
SIHBY,SHENZHEN INV HLDS BA ADR,1.94,0,0.00%,N/A,1.92,2.58,0,0,0.2049,598 M,N/A
SITIY,SITC INTL HLDGS CO L ADR,33.5175,0,0.00%,N/A,30,34.61,0,0,3.8,"8,893 M",N/A
SURRY,SUN ART RETAIL GROUP ADR,3.1,0,0.00%,N/A,2.8,3.59,0,0,0.0551,"2,957 M",N/A
KPCPY,KASIKORNBANK PUB CO ADR,17.99,0,0.00%,N/A,17.07,19.4,0,0,2.385,"10,656 M",N/A
