Datetime,Ticker,Open,High,Low,Close,Volume
2025-06-15 21:22:00,MSFT,474.72,474.72,474.72,474.72,11
2025-06-15 21:23:00,MSFT,474.78,474.78,474.78,474.78,3
2025-06-15 21:24:00,MSFT,474.78,475.18,474.78,475.18,12
2025-06-15 21:25:00,MSFT,475.0,475.0,475.0,475.0,20
2025-06-15 21:27:00,MSFT,475.0,475.0,475.0,475.0,33
2025-06-15 21:28:00,MSFT,475.0,475.0,475.0,475.0,2
2025-06-15 21:32:00,MSFT,475.18,475.67,475.18,475.67,102
2025-06-15 21:33:00,MSFT,475.31,475.31,475.31,475.31,10
2025-06-15 21:37:00,MSFT,475.13,475.13,475.13,475.13,10
2025-06-15 21:42:00,MSFT,475.1,475.1,475.1,475.1,1
2025-06-15 21:43:00,MSFT,475.2,475.2,475.07,475.07,2
2025-06-15 21:45:00,MSFT,475.19,475.19,475.19,475.19,10
2025-06-15 21:48:00,MSFT,475.16,475.16,475.09,475.16,16
2025-06-15 21:50:00,MSFT,475.1,475.1,475.09,475.09,67
2025-06-15 21:51:00,MSFT,475.09,475.09,475.09,475.09,10
2025-06-15 21:52:00,MSFT,475.13,475.16,475.12,475.16,94
2025-06-15 21:53:00,MSFT,475.23,475.23,475.09,475.09,116
2025-06-15 21:54:00,MSFT,475.11,475.11,475.09,475.09,16
2025-06-15 21:55:00,MSFT,475.2,475.2,475.2,475.2,7
2025-06-15 22:02:00,MSFT,475.18,475.18,475.18,475.18,29
2025-06-15 22:03:00,MSFT,475.23,475.23,475.23,475.23,45
2025-06-15 22:04:00,MSFT,475.09,475.09,475.09,475.09,10
2025-06-15 22:05:00,MSFT,475.09,475.2,475.09,475.2,2
2025-06-15 22:06:00,MSFT,475.57,475.57,475.57,475.57,2
2025-06-15 22:07:00,MSFT,475.3,475.3,475.3,475.3,40
2025-06-15 22:09:00,MSFT,475.34,475.34,475.34,475.34,10
2025-06-15 22:10:00,MSFT,475.38,475.38,475.38,475.38,190
2025-06-15 22:12:00,MSFT,475.38,475.38,475.38,475.38,60
2025-06-15 22:15:00,MSFT,475.38,475.38,475.38,475.38,3
2025-06-15 22:17:00,MSFT,475.56,475.61,475.56,475.61,2
2025-06-15 22:18:00,MSFT,475.6,475.7,475.6,475.7,23
2025-06-15 22:20:00,MSFT,475.45,475.69,475.45,475.69,35
2025-06-15 22:22:00,MSFT,475.33,475.33,475.33,475.33,1
2025-06-15 22:23:00,MSFT,475.33,475.33,475.33,475.33,15
2025-06-15 22:25:00,MSFT,475.33,475.33,475.33,475.33,21
2025-06-15 22:26:00,MSFT,475.33,475.33,475.32,475.32,70
2025-06-15 22:28:00,MSFT,475.31,475.31,475.3,475.3,2
2025-06-15 22:30:00,MSFT,475.3,475.3,475.3,475.3,8
2025-06-15 22:35:00,MSFT,475.3,475.3,475.26,475.26,189
2025-06-15 22:37:00,MSFT,475.26,475.26,475.26,475.26,9
2025-06-15 22:38:00,MSFT,475.17,475.17,475.15,475.15,25
2025-06-15 22:43:00,MSFT,475.15,475.15,475.15,475.15,1
2025-06-15 22:45:00,MSFT,475.18,475.22,475.18,475.22,38
2025-06-15 22:46:00,MSFT,475.24,475.24,475.24,475.24,1
2025-06-15 22:49:00,MSFT,475.14,475.14,475.12,475.12,50
2025-06-15 22:51:00,MSFT,475.24,475.24,475.24,475.24,1
2025-06-15 22:53:00,MSFT,475.11,475.11,475.11,475.11,5
2025-06-15 22:55:00,MSFT,475.24,475.24,475.1,475.1,5
2025-06-15 22:59:00,MSFT,475.23,475.23,475.23,475.23,3
2025-06-15 23:01:00,MSFT,475.22,475.23,475.22,475.23,30
2025-06-15 23:04:00,MSFT,475.25,475.25,475.25,475.25,13
2025-06-15 23:05:00,MSFT,475.25,475.25,475.25,475.25,20
2025-06-15 23:08:00,MSFT,475.26,475.26,475.26,475.26,1
2025-06-15 23:14:00,MSFT,475.14,475.14,475.13,475.13,5
2025-06-15 23:17:00,MSFT,475.13,475.15,475.13,475.15,2
2025-06-15 23:19:00,MSFT,475.16,475.16,475.16,475.16,5
2025-06-15 23:23:00,MSFT,475.18,475.18,475.17,475.17,12
2025-06-15 23:24:00,MSFT,475.16,475.16,475.15,475.15,62
2025-06-15 23:27:00,MSFT,475.12,475.12,475.12,475.12,10
2025-06-15 23:28:00,MSFT,475.11,475.11,475.09,475.09,60
2025-06-15 23:29:00,MSFT,475.09,475.23,475.09,475.23,9
2025-06-15 23:35:00,MSFT,475.04,475.04,475.0,475.0,23
2025-06-15 23:36:00,MSFT,475.13,475.13,475.13,475.13,1
2025-06-15 23:37:00,MSFT,475.12,475.13,475.12,475.13,50
2025-06-15 23:38:00,MSFT,475.14,475.14,475.14,475.14,10
2025-06-15 23:39:00,MSFT,475.13,475.13,475.0,475.0,24
2025-06-15 23:41:00,MSFT,475.0,475.0,475.0,475.0,5
2025-06-15 23:42:00,MSFT,475.0,475.0,475.0,475.0,5
2025-06-15 23:43:00,MSFT,475.08,475.08,475.0,475.0,21
2025-06-15 23:47:00,MSFT,475.01,475.01,475.01,475.01,20
2025-06-15 23:50:00,MSFT,475.01,475.01,475.01,475.01,2
2025-06-15 23:54:00,MSFT,475.09,475.09,475.09,475.09,8
2025-06-15 23:55:00,MSFT,475.09,475.09,475.09,475.09,1
2025-06-15 23:59:00,MSFT,475.12,475.12,475.12,475.12,10
